Pyruvate, ,Lactate 1, ,Lactate 2, ,Alanine, ,Glycine, ,BHB, ,Valine, ,Leucine, ,Isoleucine, ,Succinate 1, ,Succinate 2, ,Succinate 3, ,Succinate 4, ,Proline, ,Fumarate 1, ,Fumarate 2, ,Fumarate 3, ,Methionine, ,Serine, ,a-Kg 1, ,a-Kg 2, ,a-Kg 3, ,Threonine, ,Phenylalanine, ,Malate 1, ,Malate 2, ,Aspartate, ,Glutamate, ,Lysine, ,Histidine, ,Citrate 1, ,Citrate 2, ,Citrate 3, ,Tyrosine, ,
370750,1855800,140603,32327,17034,618948,29041,726692,145735,698587,6636,0,8422,559037,41762,669058,10154,619251,61617,22177,22149,74647,1468130,354500,157226,0,716,0,100441,110360,2340464,582181,325770,0,19199,674522,34377,1059377,2519,929,1751,17413,206772,0,9002,569767,7804,695485,45860,27110,94211,621778,3289,498199,26987,1015694,4912,192478,2799,0,19104,9080,12426,209687,82832,0,5581,576005,
72057,2057567,110736,25413,14493,726533,49511,879820,144377,939877,19151,0,13500,688666,53397,820709,15187,744910,82501,31085,31010,111019,1629120,394754,177097,0,1651,523690,137549,141514,3032178,757993,407411,0,22898,806335,47615,1348320,2608,956,1593,14277,162206,0,14080,673234,10935,829750,59974,31882,139264,737731,9122,715666,81325,1291050,525738,0,1561,0,129188,51473,45122,599514,228491,0,8313,666493,
347688,2016324,135492,30918,16844,678096,20318,777772,66554,812328,2268,0,5071,604762,31121,718900,7473,664835,90597,31663,31647,106146,1585082,383483,171229,0,1011,331954,463701,217623,2596758,647149,364026,0,16775,719270,24664,1171218,1669,667,1464,10049,123698,0,5866,612132,4892,727846,397078,153329,155511,625365,5030,520203,14910,1042589,11173,0,1166,0,18020,7523,7640,132812,51814,0,3621,600116,
361542,2434053,136414,31282,17727,841320,28537,984544,161184,996446,4230,0,7673,759468,42761,904491,10972,832463,133551,44945,44909,137231,1996647,488342,218418,0,900,416941,548012,272790,3289101,822565,455095,0,22820,921134,37866,1463193,3660,1404,2555,16514,205197,0,8840,789103,7171,935529,495694,198739,214323,863856,7385,715717,23656,1409820,37535,0,1898,0,31852,13063,13158,211864,82661,0,5012,776012,
68109,2193910,133458,30552,16790,762391,89578,891150,273168,881840,35285,0,32278,710201,91343,841398,35705,768456,54944,22107,22090,89611,1646805,396156,178819,0,4562,489803,95656,111249,2634298,656425,351942,0,33478,776998,96823,1349960,3455,1194,1472,13029,182671,0,35738,762389,24536,804396,47075,26647,132662,786313,25100,644720,158967,1170592,575780,0,1893,0,96165,39838,42289,707449,269578,0,14569,568525,
382207,1864805,346000,78215,36533,646848,38730,688438,3190935,760219,12662,0,6333,552585,26257,655543,6934,607008,142566,31739,31739,77118,1568588,378967,170785,0,2580,269788,114459,115051,2005558,499232,305409,0,15562,681107,28283,1094369,2546,948,1625,15315,249539,0,6536,555831,4974,708774,74898,39561,133323,907133,4831,602271,30979,1173422,19223,0,3577,0,21788,10088,14280,307911,118989,0,4313,585373,
540015,2447292,215877,49525,25818,910497,55130,1028041,261787,983500,8536,0,20729,819891,64395,971994,20821,899432,77771,34030,33998,122394,2178962,526021,239546,0,3306,490027,128589,148949,3246691,811703,441655,0,31624,1006551,64244,1569078,2803,1236,2156,17518,283237,0,20441,878632,15628,1020224,73603,42811,133148,954519,7158,738658,43572,1515417,30899,0,2739,0,27189,12458,16107,323218,126609,0,9777,838717,
96143,2404429,233110,52754,26399,848483,80905,1039148,326152,1140740,29926,0,23480,807430,80957,964600,26205,873749,99354,42013,41866,174801,1876067,458506,202879,0,3793,590617,165816,189270,3295126,826876,450142,0,30960,973491,69849,1625115,2358,943,2319,16407,138858,0,22313,808861,18027,980475,71682,40214,167998,874123,18097,913529,134500,1612816,647415,0,1736,0,115480,47074,45853,636324,243735,0,13483,800015,
9615,39633,7735,1794,848,27938,2,0,0,0,414,0,1,10,1,0,0,0,866,204,204,223,3103,758,497,0,0,0,546,343,1606,420,429,0,0,0,53,41,56,49,46,39,129,0,38,37,33,224,52,0,102,70,3,0,3,1,5214,1,49,45,238,110,211,195,53,0,26,37,
329904,1619865,87446,20177,11606,552008,21790,602353,103103,625159,2321,0,6674,483448,31009,575019,8752,529291,120034,35808,35787,89475,1299439,313219,140462,0,1408,264367,355537,175277,2200763,548603,301168,0,16280,589294,27827,931436,49,292,70,145,72253,0,7247,514146,91,0,282072,113217,120279,450081,4505,396586,15614,820067,27066,0,95,0,538,355,484,0,412,0,4160,508678,
